,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
531,64,13878,Машинист механизированного оборудования по подъему подвижной (скользящей) опалубки,5
532,65,13884,Машинист механического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,4 - 6
533,65.1,,"Машинист мобильного комплекса, оснащенного агрегатами для приготовления растворов и цементобетонных смесей",8
534,66,13904,Машинист нарезчика швов самоходного,5
535,66.1,,Машинист планировщика,7 - 8
536,67,14014,Машинист подъемника строительного,3 - 4
537,68,14082,Машинист профилировщика,6 - 8
538,69,14114,Машинист распределителя цемента аэрационного самоходного,5
539,70,14115,Машинист распределителя цемента гравитационного прицепного,4
540,71,14117,Машинист растворонасоса,3
541,72,14119,Машинист растворосмесителя передвижного,3 - 4
542,72.1,,Машинист ремиксера,7 - 8
543,72.2,,Машинист ресайклера (холодного),8
544,73,14183,Машинист скрепера,5 - 8
545,74,14199,Машинист смесителя асфальтобетона передвижного,6 - 8
546,75,14273,Машинист трубогибочной установки передвижной,4 - 5
547,76,14275,Машинист трубоочистительной машины,5 - 6
548,77,14277,Машинист трубоукладчика,5 - 8
549,78,14288,Машинист укладчика асфальтобетона,6 - 8
550,79,14291,Машинист уплотняющей и планировочно-уплотняющей машины,5
551,79.1,,Машинист установки мобильной по сортировке и приготовлению минеральных материалов для устройства защитных слоев покрытия,6
552,80,14293,Машинист установки передвижной автоматизированной непрерывного действия для приготовления бетонных смесей,5 - 8
553,81,14303,Машинист установки по продавливанию и горизонтальному бурению грунта,6 - 8
554,82,14324,Машинист финишера,5
555,82.1,,Машинист фрезы дорожной,6 - 8
556,83,14379,Машинист штукатурной станции передвижной,4
557,83.1,,Машинист щебнераспределителя,"4 - 5, 8"
558,84,14390,Машинист экскаватора,4 - 8
559,85,14397,Машинист электрического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,4 - 6
560,86,14324,Машинист электролебедки,3
561,87,14411,Машинист электросварочного передвижного агрегата с двигателем внутреннего сгорания,3 - 6
562,88,14413,Машинист электростанции передвижной,4 - 8
563,89,14480,Модельщик архитектурных деталей,5 - 7
564,90,14554,Монтажник гидроагрегатов,3 - 7
565,91,14558,Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения,2 - 6
566,91.1,,Монтажник микропроцессорной и волокно-оптической техники,4 - 7
567,91.2,,Монтажник каркасно-обшивных конструкций,3 - 6
568,92,14571,Монтажник наружных трубопроводов,2 - 6
569,93,14575,Монтажник оборудования атомных электрических станций,3 - 7
570,94,14577,Монтажник оборудования блокировки и централизации,2 - 6
571,95,14582,Монтажник оборудования коксохимических производств,2 - 6
572,96,14587,Монтажник оборудования металлургических заводов,2 - 6
573,97,14601,Монтажник оборудования связи,2 - 7
574,98,14603,Монтажник оборудования сортировочных горок,2 - 6
575,99,14612,Монтажник по монтажу стальных и железобетонных конструкций,2 - 7
